t,steer_rad,accel,v_ref,cte,wp_idx
0.0000,0.558505,3.500000,8.0000,2.1213,1
0.0200,0.558505,3.500000,8.0000,2.1203,1
0.0400,0.558505,3.500000,8.0000,2.1184,1
0.0600,0.558505,3.500000,8.0000,2.1154,1
0.0800,0.558505,3.500000,8.0000,2.1114,1
0.1000,0.558505,3.500000,8.0000,2.1065,1
0.1200,0.558505,3.500000,8.0000,2.1005,1
0.1400,0.558505,3.500000,8.0000,2.0936,1
0.1600,0.558505,3.500000,8.0000,2.0857,1
0.1800,0.558505,3.500000,8.0000,2.0769,1
0.2000,0.558505,3.500000,8.0000,2.0670,1
0.2200,0.558505,3.500000,8.0000,2.0562,1
0.2400,0.558505,3.500000,8.0000,2.0444,1
0.2600,0.558505,3.500000,8.0000,2.0317,1
0.2800,0.558505,3.500000,8.0000,2.0180,1
0.3000,0.558505,3.500000,8.0000,2.0033,1
0.3200,0.558505,3.500000,8.0000,1.9878,1
0.3400,0.558505,3.500000,8.0000,1.9712,1
0.3600,0.558505,3.500000,8.0000,1.9538,1
0.3800,0.558505,3.500000,8.0000,1.9355,1
0.4000,0.558505,3.500000,8.0000,1.9163,1
0.4200,0.558505,3.500000,8.0000,1.8962,1
0.4400,0.558505,3.500000,8.0000,1.8752,1
0.4600,0.558505,3.500000,8.0000,1.8534,1
0.4800,0.558505,3.500000,8.0000,1.8307,1
0.5000,0.558505,3.500000,8.0000,1.8073,1
0.5200,0.558505,3.500000,8.0000,1.7831,1
0.5400,0.558505,3.500000,8.0000,1.7581,1
0.5600,0.558505,3.500000,8.0000,1.7324,1
0.5800,0.558505,3.500000,8.0000,1.7061,1
0.6000,0.558505,3.500000,8.0000,1.6791,1
0.6200,0.558505,3.500000,8.0000,1.6515,1
0.6400,0.558505,3.500000,8.0000,1.6234,1
0.6600,0.558505,3.500000,8.0000,1.5947,1
0.6800,0.558505,3.500000,8.0000,1.5657,1
0.7000,0.558505,3.500000,8.0000,1.5363,1
0.7200,0.558505,3.500000,8.0000,1.5066,1
0.7400,0.492192,3.500000,8.0000,1.4767,1
0.7600,0.401751,3.500000,8.0000,2.0103,1
0.7800,0.401703,3.500000,8.0000,1.9623,1
0.8000,0.401651,3.500000,8.0000,1.9132,1
0.8200,0.401595,3.500000,8.0000,1.8631,1
0.8400,0.401534,3.500000,8.0000,1.8118,1
0.8600,0.401467,3.500000,8.0000,1.7596,1
0.8800,0.401394,3.500000,8.0000,1.7063,1
0.9000,0.401315,3.500000,8.0000,1.6521,1
0.9200,0.401230,3.500000,8.0000,1.5970,1
0.9400,0.401136,3.500000,8.0000,1.5411,1
0.9600,0.401035,3.500000,8.0000,1.4843,1
0.9800,0.400924,3.500000,8.0000,1.4270,1
1.0000,0.327013,3.500000,8.0000,1.3690,1
1.0200,0.326960,3.500000,8.0000,1.3107,1
1.0400,0.326903,3.500000,8.0000,1.2523,1
1.0600,0.326841,3.500000,8.0000,1.1939,1
1.0800,0.149765,3.500000,8.0000,1.8093,1
1.1000,0.149711,3.500000,8.0000,1.7337,1
1.1200,0.149652,3.500000,8.0000,1.6568,1
1.1400,0.149589,3.500000,8.0000,1.5787,1
1.1600,0.149520,3.500000,8.0000,1.4992,1
1.1800,0.149446,3.500000,8.0000,1.4185,1
1.2000,0.149366,3.500000,8.0000,1.3366,1
1.2200,0.180263,3.500000,8.0000,1.2535,1
1.2400,0.180208,3.500000,8.0000,1.1692,1
1.2600,0.180149,3.500000,8.0000,1.0838,1
1.2800,0.180085,3.500000,8.0000,1.8622,2
1.3000,0.180017,3.500000,8.0000,1.7717,2
1.3200,0.179943,3.500000,8.0000,1.6798,2
1.3400,-0.083673,3.500000,8.0000,1.5867,1
1.3600,-0.083619,3.500000,8.0000,1.4923,1
1.3800,0.203961,3.500000,8.0000,1.9668,1
1.4000,0.203850,3.500000,8.0000,1.8753,1
1.4200,0.203730,3.500000,8.0000,1.7828,1
1.4400,0.203600,3.500000,8.0000,1.6895,1
1.4600,0.203458,3.500000,8.0000,1.5955,1
1.4800,0.203304,3.500000,8.0000,1.5010,1
1.5000,0.203136,3.500000,8.0000,1.4060,1
1.5200,-0.011874,3.500000,8.0000,1.3110,1
1.5400,-0.011866,3.500000,8.0000,1.2167,1
1.5600,-0.011857,3.500000,8.0000,1.1236,1
1.5800,-0.011848,3.500000,8.0000,1.0326,1
1.6000,-0.011838,3.500000,8.0000,1.5872,1
1.6200,-0.011826,3.500000,8.0000,1.4741,1
1.6400,-0.011814,3.500000,8.0000,1.3597,1
1.6600,-0.143277,3.500000,8.0000,1.2439,1
1.6800,-0.143172,3.500000,8.0000,1.1269,1
1.7000,-0.143058,3.500000,8.0000,1.0087,1
1.7200,-0.142934,3.500000,8.0000,1.7889,2
1.7400,-0.142799,3.425120,8.0000,1.6006,1
1.7600,-0.142652,3.352186,8.0000,2.0621,1
1.7800,-0.142491,3.280703,8.0000,1.9427,1
1.8000,-0.142315,3.210667,8.0000,1.8230,1
1.8200,-0.209909,3.142047,8.0000,1.7033,1
1.8400,-0.209731,3.074814,8.0000,1.5841,1
1.8600,-0.209538,3.008941,8.0000,1.4658,1
1.8800,-0.209327,2.944400,8.0000,1.3493,1
1.9000,-0.209097,2.881165,8.0000,1.2353,1
1.9200,-0.208846,2.819210,8.0000,1.1252,1
1.9400,-0.208570,2.758508,8.0000,1.7088,1
1.9600,-0.227693,2.699035,8.0000,1.5756,1
1.9800,-0.227485,2.640766,8.0000,1.4421,1
2.0000,-0.227259,2.583677,8.0000,1.3087,1
2.0200,-0.227012,2.527744,8.0000,1.1757,1
2.0400,-0.226742,2.472944,8.0000,1.0437,1
2.0600,-0.226447,2.419254,8.0000,1.7796,2
2.0800,-0.226122,2.366652,8.0000,1.6382,2
2.1000,-0.215768,2.315116,8.0000,1.4960,1
2.1200,-0.215550,2.264625,8.0000,1.3530,1
2.1400,-0.215313,2.215157,8.0000,1.2094,1
2.1600,-0.215054,2.166692,8.0000,1.0652,1
2.1800,-0.214771,2.119211,8.0000,1.8781,2
2.2000,-0.214462,2.072692,8.0000,1.7314,2
2.2200,-0.214122,2.027118,8.0000,1.5838,2
2.2400,0.065359,1.982469,8.0000,1.4353,1
2.2600,0.065286,1.938726,8.0000,1.2861,1
2.2800,0.065206,1.895871,8.0000,1.1362,1
2.3000,0.065121,1.853886,8.0000,1.9780,2
2.3200,0.065027,1.812755,8.0000,1.8283,2
2.3400,0.064925,1.772459,8.0000,1.6784,2
2.3600,0.064814,1.732982,8.0000,1.5283,2
2.3800,0.064692,1.694308,8.0000,1.3783,1
2.4000,0.201722,1.656420,8.0000,1.2288,1
2.4200,0.201505,1.619302,8.0000,1.0805,1
2.4400,0.201271,1.582940,8.0000,1.9319,2
2.4600,0.201016,1.547318,8.0000,1.7854,2
2.4800,0.200738,1.512421,8.0000,1.6409,2
2.5000,0.200435,1.478234,8.0000,1.4993,1
2.5200,0.200102,1.444743,8.0000,1.3616,1
2.5400,0.199735,1.411935,8.0000,1.2295,1
2.5600,0.232842,1.379796,8.0000,1.1054,1
2.5800,0.232600,1.348311,8.0000,1.9592,2
2.6000,0.232339,1.388072,8.0000,1.8000,2
2.6200,0.232057,1.407821,8.0000,1.6414,2
2.6400,0.366524,1.407821,8.0000,1.9796,1
2.6600,0.366224,1.407821,8.0000,1.8285,1
2.6800,0.365898,1.407821,8.0000,1.6778,1
2.7000,0.365541,1.407821,8.0000,1.5275,1
2.7200,0.365152,1.407821,8.0000,1.3779,1
2.7400,0.364726,1.407821,8.0000,1.2295,1
2.7600,0.364258,1.407821,8.0000,1.0827,1
2.7800,0.124690,1.407821,8.0000,1.6736,1
2.8000,0.124523,1.407821,8.0000,1.5141,1
2.8200,0.124343,1.407821,8.0000,1.3548,1
2.8400,0.124148,1.407821,8.0000,1.1958,1
2.8600,0.288338,1.407821,8.0000,1.7304,1
