t,event,detail
0.0000,STATUS,x=5.00 y=5.00 v=0.00 phase=0 wp=0
0.0000,REPLAN,goal_moved
0.0200,REPLAN,goal_moved
0.0400,REPLAN,goal_moved
0.0600,REPLAN,goal_moved
0.0800,REPLAN,goal_moved
0.1000,REPLAN,goal_moved
0.1200,REPLAN,goal_moved
0.1400,REPLAN,goal_moved
0.1600,REPLAN,goal_moved
0.1800,REPLAN,goal_moved
0.2000,REPLAN,goal_moved
0.2200,REPLAN,goal_moved
0.2400,REPLAN,goal_moved
0.2600,REPLAN,goal_moved
0.2800,REPLAN,goal_moved
0.3000,REPLAN,goal_moved
0.3200,REPLAN,goal_moved
0.3400,REPLAN,goal_moved
0.3600,REPLAN,goal_moved
0.3800,REPLAN,goal_moved
0.4000,REPLAN,goal_moved
0.4200,REPLAN,goal_moved
0.4400,REPLAN,goal_moved
0.4600,REPLAN,goal_moved
0.4800,REPLAN,goal_moved
0.5000,REPLAN,goal_moved
0.5200,REPLAN,goal_moved
0.5400,REPLAN,goal_moved
0.5600,REPLAN,goal_moved
0.5800,REPLAN,goal_moved
0.6000,REPLAN,goal_moved
0.6200,REPLAN,goal_moved
0.6400,REPLAN,goal_moved
0.6600,REPLAN,goal_moved
0.6800,REPLAN,goal_moved
0.7000,REPLAN,goal_moved
0.7200,REPLAN,goal_moved
0.7400,REPLAN,goal_moved
0.7600,REPLAN,goal_moved
0.7800,REPLAN,goal_moved
0.8000,REPLAN,goal_moved
0.8200,REPLAN,goal_moved
0.8400,REPLAN,goal_moved
0.8600,REPLAN,goal_moved
0.8800,REPLAN,goal_moved
0.9000,REPLAN,goal_moved
0.9200,REPLAN,goal_moved
0.9400,REPLAN,goal_moved
0.9600,REPLAN,goal_moved
0.9800,REPLAN,goal_moved
1.0000,REPLAN,goal_moved
1.0200,REPLAN,goal_moved
1.0400,REPLAN,goal_moved
1.0600,REPLAN,goal_moved
1.0800,REPLAN,goal_moved
1.1000,REPLAN,goal_moved
1.1200,REPLAN,goal_moved
1.1400,REPLAN,goal_moved
1.1600,REPLAN,goal_moved
1.1800,REPLAN,goal_moved
1.2000,REPLAN,goal_moved
1.2200,REPLAN,goal_moved
1.2400,REPLAN,goal_moved
1.2600,REPLAN,goal_moved
1.2800,REPLAN,goal_moved
1.3000,REPLAN,goal_moved
1.3200,REPLAN,goal_moved
1.3400,REPLAN,goal_moved
1.3600,REPLAN,goal_moved
1.3800,REPLAN,goal_moved
1.4000,REPLAN,goal_moved
1.4200,REPLAN,goal_moved
1.4400,REPLAN,goal_moved
1.4600,REPLAN,goal_moved
1.4800,REPLAN,goal_moved
1.5000,REPLAN,goal_moved
1.5200,REPLAN,goal_moved
1.5400,REPLAN,goal_moved
1.5600,REPLAN,goal_moved
1.6000,REPLAN,goal_moved
1.6200,REPLAN,goal_moved
1.6400,REPLAN,goal_moved
1.6600,REPLAN,goal_moved
1.6800,REPLAN,goal_moved
1.7000,REPLAN,goal_moved
1.7200,REPLAN,goal_moved
1.7400,REPLAN,goal_moved
1.7600,REPLAN,goal_moved
1.7800,REPLAN,goal_moved
1.8000,REPLAN,goal_moved
1.8200,REPLAN,goal_moved
1.8400,REPLAN,goal_moved
1.8600,REPLAN,goal_moved
1.8800,REPLAN,goal_moved
1.9000,REPLAN,goal_moved
1.9200,REPLAN,goal_moved
1.9400,REPLAN,goal_moved
1.9600,REPLAN,goal_moved
1.9800,REPLAN,goal_moved
2.0000,REPLAN,goal_moved
2.0200,STATUS,x=11.57 y=7.78 v=6.93 phase=0 wp=1
2.0200,REPLAN,goal_moved
2.0400,REPLAN,goal_moved
2.0600,REPLAN,goal_moved
2.0800,REPLAN,goal_moved
2.1000,REPLAN,goal_moved
2.1200,REPLAN,goal_moved
2.1400,REPLAN,goal_moved
2.1600,REPLAN,goal_moved
2.1800,REPLAN,goal_moved
2.2000,REPLAN,goal_moved
2.2200,REPLAN,goal_moved
2.2400,REPLAN,goal_moved
2.2600,REPLAN,goal_moved
2.2800,REPLAN,goal_moved
2.3000,REPLAN,goal_moved
2.3200,REPLAN,goal_moved
2.3600,REPLAN,goal_moved
2.3800,REPLAN,goal_moved
2.4000,REPLAN,goal_moved
2.4200,REPLAN,goal_moved
2.4400,REPLAN,goal_moved
2.4600,REPLAN,goal_moved
2.4800,REPLAN,goal_moved
2.5000,REPLAN,goal_moved
2.5200,REPLAN,goal_moved
2.5400,REPLAN,goal_moved
2.5600,REPLAN,goal_moved
2.5800,REPLAN,goal_moved
2.6000,REPLAN,goal_moved
0.0000,NO_PATH,goal_moved:astar_fail
2.6200,REPLAN,goal_moved
0.0000,NO_PATH,goal_moved:astar_fail
2.6400,REPLAN,goal_moved
2.6600,REPLAN,goal_moved
2.6800,REPLAN,goal_moved
2.7000,REPLAN,goal_moved
2.7200,REPLAN,goal_moved
2.7400,REPLAN,goal_moved
2.7600,REPLAN,goal_moved
2.7800,REPLAN,goal_moved
2.8000,REPLAN,goal_moved
2.8200,REPLAN,goal_moved
2.8400,REPLAN,goal_moved
2.8600,REPLAN,goal_moved
2.8800,REPLAN,goal_moved
2.9000,REPLAN,goal_moved
2.9200,REPLAN,goal_moved
2.9400,REPLAN,goal_moved
2.9600,REPLAN,goal_moved
2.9800,REPLAN,goal_moved
3.0000,REPLAN,goal_moved
3.0200,REPLAN,goal_moved
3.0400,REPLAN,goal_moved
3.0600,REPLAN,goal_moved
3.0800,REPLAN,goal_moved
3.1000,REPLAN,goal_moved
3.1200,REPLAN,goal_moved
3.1400,REPLAN,goal_moved
3.1600,REPLAN,goal_moved
3.1800,REPLAN,goal_moved
3.2000,REPLAN,goal_moved
3.2200,REPLAN,goal_moved
3.2400,REPLAN,goal_moved
3.2800,REPLAN,goal_moved
3.3000,REPLAN,goal_moved
3.3200,REPLAN,goal_moved
3.3400,REPLAN,goal_moved
3.3600,REPLAN,goal_moved
3.3800,REPLAN,goal_moved
3.4000,REPLAN,goal_moved
3.4200,REPLAN,goal_moved
3.4400,REPLAN,goal_moved
3.4600,REPLAN,goal_moved
3.4800,REPLAN,goal_moved
3.5000,REPLAN,goal_moved
3.5200,REPLAN,goal_moved
3.5400,REPLAN,goal_moved
3.5800,REPLAN,goal_moved
3.6000,REPLAN,goal_moved
3.6200,REPLAN,goal_moved
3.6400,REPLAN,goal_moved
3.6600,REPLAN,goal_moved
3.6800,REPLAN,goal_moved
3.7000,REPLAN,goal_moved
3.7200,REPLAN,goal_moved
3.7400,REPLAN,goal_moved
3.7600,REPLAN,goal_moved
3.7800,REPLAN,goal_moved
3.8000,REPLAN,goal_moved
3.8200,REPLAN,goal_moved
3.8400,REPLAN,goal_moved
3.8800,REPLAN,goal_moved
3.9000,REPLAN,goal_moved
3.9200,REPLAN,goal_moved
3.9400,REPLAN,goal_moved
3.9600,REPLAN,goal_moved
3.9800,REPLAN,goal_moved
4.0000,REPLAN,goal_moved
4.0200,REPLAN,goal_moved
4.0400,STATUS,x=23.15 y=17.47 v=8.00 phase=0 wp=1
4.0400,REPLAN,goal_moved
4.0600,REPLAN,goal_moved
4.0800,REPLAN,goal_moved
4.1000,REPLAN,goal_moved
4.1200,REPLAN,goal_moved
4.1400,REPLAN,goal_moved
4.1600,REPLAN,goal_moved
4.1800,REPLAN,goal_moved
4.2000,REPLAN,goal_moved
4.2200,REPLAN,goal_moved
4.2400,REPLAN,goal_moved
4.2600,REPLAN,goal_moved
4.2800,REPLAN,goal_moved
4.3000,REPLAN,goal_moved
4.3200,REPLAN,goal_moved
4.3400,REPLAN,goal_moved
4.3800,REPLAN,goal_moved
4.4000,REPLAN,goal_moved
4.4200,REPLAN,goal_moved
4.4400,REPLAN,goal_moved
4.4600,REPLAN,goal_moved
4.4800,REPLAN,goal_moved
4.5000,REPLAN,goal_moved
4.5200,REPLAN,goal_moved
4.5400,REPLAN,goal_moved
4.5600,REPLAN,goal_moved
4.5800,REPLAN,goal_moved
4.6000,REPLAN,goal_moved
4.6200,REPLAN,goal_moved
4.6400,REPLAN,goal_moved
4.6600,REPLAN,goal_moved
4.6800,REPLAN,goal_moved
4.7000,REPLAN,goal_moved
4.7200,REPLAN,goal_moved
4.7400,REPLAN,goal_moved
4.7600,REPLAN,goal_moved
4.7800,REPLAN,goal_moved
4.8000,REPLAN,goal_moved
4.8200,REPLAN,goal_moved
4.8400,REPLAN,goal_moved
4.8600,REPLAN,goal_moved
4.8800,REPLAN,goal_moved
4.9000,REPLAN,goal_moved
4.9200,REPLAN,goal_moved
4.9400,REPLAN,goal_moved
4.9600,REPLAN,goal_moved
4.9800,REPLAN,goal_moved
5.0000,REPLAN,goal_moved
5.0200,REPLAN,goal_moved
5.0400,REPLAN,goal_moved
5.0600,REPLAN,goal_moved
5.0800,REPLAN,goal_moved
5.1000,REPLAN,goal_moved
5.1200,REPLAN,goal_moved
5.1400,REPLAN,goal_moved
5.1600,REPLAN,goal_moved
5.1800,REPLAN,goal_moved
5.2000,REPLAN,goal_moved
5.2200,REPLAN,goal_moved
5.2400,REPLAN,goal_moved
5.2600,REPLAN,goal_moved
5.2800,REPLAN,goal_moved
5.3000,REPLAN,goal_moved
5.3200,REPLAN,goal_moved
5.3400,REPLAN,goal_moved
5.3600,REPLAN,goal_moved
5.3800,REPLAN,goal_moved
