t,zx,zy,xhat,yhat,vxhat,vyhat
0.0000,71.6611,49.7524,71.7074,50.0911,-1.5772,-0.0644
0.0200,69.7093,49.0337,70.0043,49.1921,-2.0689,-0.3284
0.0400,74.3470,55.5805,73.6894,54.6212,-0.9728,1.2703
0.0600,68.9843,47.3803,69.6872,48.4702,-2.1443,-0.5463
0.0800,71.0692,54.3073,70.8554,53.4301,-1.7880,0.9157
0.1000,69.3673,52.3010,69.5851,52.4731,-2.1511,0.6289
0.1200,76.0889,51.3174,75.1069,51.4927,-0.5144,0.3368
0.1400,72.8065,52.4346,73.1500,52.2943,-1.0870,0.5706
0.1600,74.1650,55.5046,74.0095,55.0248,-0.8278,1.3703
0.1800,73.6406,54.3506,73.6935,54.4559,-0.9159,1.1949
0.2000,69.7770,50.4841,70.3617,51.0834,-1.8904,0.1960
0.2200,73.9233,52.6110,73.3834,52.3824,-0.9905,0.5769
0.2400,69.9238,52.2580,70.4397,52.2784,-1.8505,0.5429
0.2600,77.1308,57.5111,76.1216,56.7279,-0.1685,1.8484
0.2800,71.3043,54.5269,72.0264,54.8626,-1.3720,1.2889
0.3000,73.0698,49.8464,72.9092,50.6027,-1.1042,0.0284
0.3200,71.9309,51.1490,72.0743,51.0671,-1.3433,0.1649
0.3400,70.8847,52.0413,71.0591,51.8957,-1.6340,0.4076
0.3600,72.4245,50.2384,72.2148,50.4882,-1.2845,-0.0088
0.3800,72.7667,51.3637,72.6800,51.2324,-1.1401,0.2102
0.4000,72.5154,55.3776,72.5366,54.7565,-1.1755,1.2454
0.4200,72.9787,48.9319,72.9089,49.8093,-1.0591,-0.2170
0.4400,71.0717,53.3446,71.3441,52.8137,-1.5131,0.6680
0.4600,70.9608,53.2149,71.0137,53.1567,-1.6014,0.7649
0.4800,70.1192,51.6144,70.2486,51.8480,-1.8170,0.3755
0.5000,68.7304,52.4968,68.9526,52.4006,-2.1875,0.5358
0.5200,74.5406,52.4056,73.6958,52.4065,-0.7796,0.5344
0.5400,69.2181,50.5047,69.8874,50.7915,-1.8951,0.0563
0.5600,70.7518,52.2430,70.6165,52.0255,-1.6695,0.4189
0.5800,70.8634,53.7839,70.8214,53.5214,-1.5995,0.8564
0.6000,69.2147,52.8631,69.4509,52.9644,-1.9931,0.6875
0.6200,68.7777,55.6565,68.8727,55.2547,-2.1515,1.3571
0.6400,75.1237,55.5162,74.1796,55.4810,-0.5780,1.4157
0.6600,72.4498,52.7814,72.7076,53.1905,-1.0075,0.7337
0.6800,72.1297,56.8830,72.2134,56.3313,-1.1469,1.6531
0.7000,74.0230,50.1845,73.7481,51.1115,-0.6888,0.1082
0.7200,74.6493,54.3823,74.5121,53.8920,-0.4601,0.9253
0.7400,73.3313,52.3910,73.5071,52.6190,-0.7529,0.5454
0.7600,69.9214,50.4602,70.4570,50.7857,-1.6456,0.0030
0.7800,74.0795,47.2535,73.5312,47.7834,-0.7317,-0.8800
0.8000,70.7244,50.6818,71.1432,50.2444,-1.4298,-0.1510
0.8200,68.4398,52.0313,68.8411,51.7628,-2.0985,0.2965
0.8400,72.1370,52.3676,71.6363,52.2778,-1.2640,0.4462
0.8600,72.1890,51.4221,72.1023,51.5517,-1.1195,0.2300
0.8800,69.8830,47.2891,70.2125,47.9292,-1.6687,-0.8368
0.9000,71.7277,47.6935,71.4955,47.7263,-1.2816,-0.8915
0.9200,69.5411,54.6433,69.8304,53.6031,-1.7637,0.8422
0.9400,67.6531,53.3446,67.9744,53.3859,-2.2993,0.7734
0.9600,69.3861,52.9201,69.1674,52.9923,-1.9349,0.6530
0.9800,68.0901,50.7961,68.2459,51.1275,-2.1945,0.1007
1.0000,71.8032,50.2646,71.2630,50.3943,-1.2942,-0.1155
1.0200,67.8655,52.4108,68.3713,52.1079,-2.1371,0.3892
1.0400,70.2050,55.8118,69.9235,55.2574,-1.6680,1.3132
1.0600,67.8973,55.4903,68.1962,55.4593,-2.1662,1.3648
1.0800,68.5512,50.0162,68.4914,50.8367,-2.0666,-0.0028
1.1000,70.9057,54.4752,70.5374,53.9294,-1.4527,0.9069
1.1200,70.6721,52.6416,70.6475,52.8375,-1.4118,0.5804
1.1400,73.3213,54.3858,72.9160,54.1553,-0.7363,0.9646
1.1600,70.5876,51.0721,70.9346,51.5375,-1.3147,0.1889
