t,steer_rad,accel,v_ref,cte,wp_idx
0.0000,0.558505,3.500000,5.2000,2.1213,1
0.0200,0.558505,3.500000,5.2000,2.1203,1
0.0400,0.558505,3.500000,5.2000,2.1184,1
0.0600,0.558505,3.500000,5.2000,2.1154,1
0.0800,0.558505,3.500000,5.2000,2.1114,1
0.1000,0.558505,3.500000,5.2000,2.1065,1
0.1200,0.558505,3.500000,5.2000,2.1005,1
0.1400,0.558505,3.500000,5.2000,2.0936,1
0.1600,0.558505,3.500000,5.2000,2.0857,1
0.1800,0.558505,3.500000,5.2000,2.0769,1
0.2000,0.558505,3.500000,5.2000,2.0670,1
0.2200,0.558505,3.500000,5.2000,2.0562,1
0.2400,0.558505,3.500000,5.2000,2.0444,1
0.2600,0.558505,3.500000,5.2000,2.0317,1
0.2800,0.558505,3.500000,5.2000,2.0180,1
0.3000,0.558505,3.500000,5.2000,2.0033,1
0.3200,0.558505,3.500000,5.2000,1.9878,1
0.3400,0.558505,3.500000,5.2000,1.9712,1
0.3600,0.558505,3.500000,5.2000,1.9538,1
0.3800,0.558505,3.500000,5.2000,1.9355,1
0.4000,0.558505,3.500000,5.2000,1.9163,1
0.4200,0.558505,3.500000,5.2000,1.8962,1
0.4400,0.558505,3.500000,5.2000,1.8752,1
0.4600,0.558505,3.500000,5.2000,1.8534,1
0.4800,0.558505,3.500000,5.2000,1.8307,1
0.5000,0.558505,3.500000,5.2000,1.8073,1
0.5200,0.558505,3.500000,5.2000,1.7831,1
0.5400,0.558505,3.500000,5.2000,1.7581,1
0.5600,0.558505,3.500000,5.2000,1.7324,1
0.5800,0.558505,3.500000,5.2000,1.7061,1
0.6000,0.558505,3.500000,5.2000,1.6791,1
0.6200,0.558505,3.500000,5.2000,1.6515,1
0.6400,0.558505,3.500000,5.2000,1.6234,1
0.6600,0.558505,3.500000,5.2000,1.5947,1
0.6800,0.558505,3.500000,5.2000,1.5657,1
0.7000,0.558505,3.500000,5.2000,1.5363,1
0.7200,0.558505,3.478340,5.2000,1.5066,1
0.7400,0.558505,3.403774,5.2000,1.4767,1
0.7600,0.558505,3.333439,5.2000,1.4468,1
0.7800,0.558505,3.264380,5.2000,1.4169,1
