t,x,y,yaw,v
0.0000,5.0014,5.0000,0.000336,0.0700
0.0200,5.0042,5.0000,0.001009,0.1400
0.0400,5.0084,5.0000,0.002019,0.2100
0.0600,5.0140,5.0000,0.003365,0.2800
0.0800,5.0210,5.0001,0.005047,0.3500
0.1000,5.0294,5.0001,0.007066,0.4200
0.1200,5.0392,5.0002,0.009421,0.4900
0.1400,5.0504,5.0004,0.012113,0.5600
0.1600,5.0630,5.0005,0.015141,0.6300
0.1800,5.0770,5.0008,0.018506,0.7000
0.2000,5.0924,5.0011,0.022207,0.7700
0.2200,5.1092,5.0016,0.026245,0.8400
0.2400,5.1274,5.0021,0.030619,0.9100
0.2600,5.1470,5.0028,0.035329,0.9800
0.2800,5.1679,5.0037,0.040376,1.0500
0.3000,5.1903,5.0047,0.045760,1.1200
0.3200,5.2141,5.0059,0.051480,1.1900
0.3400,5.2393,5.0074,0.057536,1.2600
0.3600,5.2658,5.0091,0.063929,1.3300
0.3800,5.2937,5.0111,0.070658,1.4000
0.4000,5.3230,5.0133,0.077724,1.4700
0.4200,5.3537,5.0160,0.085126,1.5400
0.4400,5.3858,5.0189,0.092865,1.6100
0.4600,5.4192,5.0223,0.100940,1.6800
0.4800,5.4540,5.0262,0.109352,1.7500
0.5000,5.4902,5.0304,0.118100,1.8200
0.5200,5.5276,5.0352,0.127185,1.8900
0.5400,5.5665,5.0406,0.136606,1.9600
0.5600,5.6066,5.0465,0.146364,2.0300
0.5800,5.6481,5.0530,0.156458,2.1000
0.6000,5.6909,5.0602,0.166888,2.1700
0.6200,5.7350,5.0682,0.177655,2.2400
0.6400,5.7804,5.0768,0.188759,2.3100
0.6600,5.8271,5.0863,0.200199,2.3800
0.6800,5.8750,5.0966,0.211975,2.4500
0.7000,5.9241,5.1078,0.224088,2.5200
0.7200,5.9744,5.1199,0.236535,2.5896
0.7400,6.0260,5.1331,0.249309,2.6576
0.7600,6.0786,5.1472,0.262404,2.7243
0.7800,6.1323,5.1624,0.275813,2.7896
0.8000,6.1870,5.1787,0.289529,2.8535
0.8200,6.2426,5.1961,0.303546,2.9161
0.8400,6.2992,5.2147,0.317858,2.9775
0.8600,6.3566,5.2346,0.332458,3.0375
0.8800,6.4148,5.2556,0.347341,3.0963
0.9000,6.4738,5.2780,0.362500,3.1538
0.9200,6.5335,5.3017,0.377931,3.2102
0.9400,6.5938,5.3267,0.393627,3.2654
0.9600,6.6547,5.3532,0.409582,3.3195
0.9800,6.7161,5.3810,0.425792,3.3724
1.0000,6.7780,5.4103,0.442251,3.4242
1.0200,6.8403,5.4411,0.458954,3.4749
1.0400,6.9031,5.4733,0.473685,3.5246
1.0600,6.9662,5.5068,0.488618,3.5732
1.0800,7.0296,5.5418,0.503749,3.6208
1.1000,7.0933,5.5782,0.519072,3.6675
1.1200,7.1572,5.6160,0.534584,3.7131
1.1400,7.2212,5.6553,0.550280,3.7578
1.1600,7.2854,5.6961,0.566157,3.8015
1.1800,7.3496,5.7384,0.582209,3.8444
1.2000,7.4138,5.7822,0.598434,3.8863
1.2200,7.4780,5.8275,0.614826,3.9273
1.2400,7.5420,5.8743,0.631383,3.9675
1.2600,7.6059,5.9227,0.648100,4.0068
1.2800,7.6696,5.9726,0.664974,4.0453
1.3000,7.7330,6.0241,0.682000,4.0830
1.3200,7.7961,6.0771,0.699175,4.1199
1.3400,7.8587,6.1317,0.716495,4.1560
1.3600,7.9210,6.1878,0.733956,4.1914
1.3800,7.9827,6.2456,0.751555,4.2260
1.4000,8.0439,6.3048,0.769289,4.2598
1.4200,8.1046,6.3656,0.787152,4.2930
1.4400,8.1650,6.4275,0.796409,4.3254
1.4600,8.2254,6.4903,0.805730,4.3572
1.4800,8.2856,6.5542,0.815116,4.3882
1.5000,8.3456,6.6191,0.824563,4.4187
1.5200,8.4054,6.6850,0.834071,4.4484
1.5400,8.4649,6.7519,0.843637,4.4775
1.5600,8.5241,6.8198,0.853260,4.5060
1.5800,8.5831,6.8887,0.862939,4.5339
1.6000,8.6417,6.9586,0.872672,4.5612
1.6200,8.7000,7.0294,0.882457,4.5879
1.6400,8.7579,7.1013,0.892293,4.6140
1.6600,8.8155,7.1741,0.902178,4.6396
1.6800,8.8726,7.2479,0.912110,4.6646
1.7000,8.9292,7.3226,0.922089,4.6891
1.7200,8.9854,7.3983,0.932112,4.7130
1.7400,9.0416,7.4745,0.935601,4.7364
1.7600,9.0978,7.5514,0.939106,4.7594
1.7800,9.1540,7.6287,0.942626,4.7818
1.8000,9.2102,7.7067,0.946160,4.8037
1.8200,9.2664,7.7851,0.949708,4.8251
1.8400,9.3225,7.8642,0.953270,4.8461
1.8600,9.3786,7.9437,0.956846,4.8666
1.8800,9.4346,8.0238,0.960434,4.8867
1.9000,9.4905,8.1044,0.964034,4.9064
1.9200,9.5464,8.1856,0.967646,4.9256
1.9400,9.6022,8.2672,0.971270,4.9443
1.9600,9.6582,8.3491,0.971270,4.9627
1.9800,9.7144,8.4314,0.971270,4.9807
2.0000,9.7708,8.5139,0.971270,4.9982
2.0200,9.8274,8.5967,0.971270,5.0154
2.0400,9.8842,8.6798,0.971270,5.0322
2.0600,9.9412,8.7632,0.971270,5.0486
2.0800,9.9984,8.8468,0.971270,5.0646
2.1000,10.0557,8.9307,0.971270,5.0803
2.1200,10.1132,9.0148,0.971270,5.0957
2.1400,10.1709,9.0992,0.971270,5.1107
2.1600,10.2287,9.1838,0.971270,5.1253
2.1800,10.2867,9.2687,0.971270,5.1397
2.2000,10.3449,9.3538,0.971270,5.1537
2.2200,10.4032,9.4391,0.971270,5.1673
2.2400,10.4616,9.5247,0.971270,5.1807
2.2600,10.5203,9.6104,0.971270,5.1938
2.2800,10.5789,9.6963,0.971270,5.2000
2.3000,10.6376,9.7822,0.971270,5.2000
2.3200,10.6963,9.8680,0.971270,5.2000
2.3400,10.7550,9.9539,0.971270,5.2000
2.3600,10.8137,10.0398,0.971270,5.2000
2.3800,10.8723,10.1256,0.971270,5.2000
2.4000,10.9310,10.2115,0.971270,5.2000
