t,target_x,target_y,target_vx,target_vy
0.0000,72.0000,52.0000,-1.5000,0.5000
0.0200,71.9700,52.0100,-1.5000,0.5000
0.0400,71.9400,52.0200,-1.5000,0.5000
0.0600,71.9100,52.0300,-1.5000,0.5000
0.0800,71.8800,52.0400,-1.5000,0.5000
0.1000,71.8500,52.0500,-1.5000,0.5000
0.1200,71.8200,52.0600,-1.5000,0.5000
0.1400,71.7900,52.0700,-1.5000,0.5000
0.1600,71.7600,52.0800,-1.5000,0.5000
0.1800,71.7300,52.0900,-1.5000,0.5000
0.2000,71.7000,52.1000,-1.5000,0.5000
0.2200,71.6700,52.1100,-1.5000,0.5000
0.2400,71.6400,52.1200,-1.5000,0.5000
0.2600,71.6100,52.1300,-1.5000,0.5000
0.2800,71.5800,52.1400,-1.5000,0.5000
0.3000,71.5500,52.1500,-1.5000,0.5000
0.3200,71.5200,52.1600,-1.5000,0.5000
0.3400,71.4900,52.1700,-1.5000,0.5000
0.3600,71.4600,52.1800,-1.5000,0.5000
0.3800,71.4300,52.1900,-1.5000,0.5000
0.4000,71.4000,52.2000,-1.5000,0.5000
0.4200,71.3700,52.2100,-1.5000,0.5000
0.4400,71.3400,52.2200,-1.5000,0.5000
0.4600,71.3100,52.2300,-1.5000,0.5000
0.4800,71.2800,52.2400,-1.5000,0.5000
0.5000,71.2500,52.2500,-1.5000,0.5000
0.5200,71.2200,52.2600,-1.5000,0.5000
0.5400,71.1900,52.2700,-1.5000,0.5000
0.5600,71.1600,52.2800,-1.5000,0.5000
0.5800,71.1300,52.2900,-1.5000,0.5000
0.6000,71.1000,52.3000,-1.5000,0.5000
0.6200,71.0700,52.3100,-1.5000,0.5000
0.6400,71.0400,52.3200,-1.5000,0.5000
0.6600,71.0100,52.3300,-1.5000,0.5000
0.6800,70.9800,52.3400,-1.5000,0.5000
0.7000,70.9500,52.3500,-1.5000,0.5000
0.7200,70.9200,52.3600,-1.5000,0.5000
0.7400,70.8900,52.3700,-1.5000,0.5000
0.7600,70.8600,52.3800,-1.5000,0.5000
0.7800,70.8300,52.3900,-1.5000,0.5000
0.8000,70.8000,52.4000,-1.5000,0.5000
0.8200,70.7700,52.4100,-1.5000,0.5000
0.8400,70.7400,52.4200,-1.5000,0.5000
0.8600,70.7100,52.4300,-1.5000,0.5000
0.8800,70.6800,52.4400,-1.5000,0.5000
0.9000,70.6500,52.4500,-1.5000,0.5000
0.9200,70.6200,52.4600,-1.5000,0.5000
0.9400,70.5900,52.4700,-1.5000,0.5000
0.9600,70.5600,52.4800,-1.5000,0.5000
0.9800,70.5300,52.4900,-1.5000,0.5000
1.0000,70.5000,52.5000,-1.5000,0.5000
1.0200,70.4700,52.5100,-1.5000,0.5000
1.0400,70.4400,52.5200,-1.5000,0.5000
1.0600,70.4100,52.5300,-1.5000,0.5000
1.0800,70.3800,52.5400,-1.5000,0.5000
1.1000,70.3500,52.5500,-1.5000,0.5000
1.1200,70.3200,52.5600,-1.5000,0.5000
1.1400,70.2900,52.5700,-1.5000,0.5000
1.1600,70.2600,52.5800,-1.5000,0.5000
1.1800,70.2300,52.5900,-1.5000,0.5000
1.2000,70.2000,52.6000,-1.5000,0.5000
1.2200,70.1700,52.6100,-1.5000,0.5000
1.2400,70.1400,52.6200,-1.5000,0.5000
1.2600,70.1100,52.6300,-1.5000,0.5000
1.2800,70.0800,52.6400,-1.5000,0.5000
1.3000,70.0500,52.6500,-1.5000,0.5000
1.3200,70.0200,52.6600,-1.5000,0.5000
1.3400,69.9900,52.6700,-1.5000,0.5000
1.3600,69.9600,52.6800,-1.5000,0.5000
1.3800,69.9300,52.6900,-1.5000,0.5000
1.4000,69.9000,52.7000,-1.5000,0.5000
1.4200,69.8700,52.7100,-1.5000,0.5000
1.4400,69.8400,52.7200,-1.5000,0.5000
1.4600,69.8100,52.7300,-1.5000,0.5000
1.4800,69.7800,52.7400,-1.5000,0.5000
1.5000,69.7500,52.7500,-1.5000,0.5000
1.5200,69.7200,52.7600,-1.5000,0.5000
1.5400,69.6900,52.7700,-1.5000,0.5000
1.5600,69.6600,52.7800,-1.5000,0.5000
1.5800,69.6300,52.7900,-1.5000,0.5000
1.6000,69.6000,52.8000,-1.5000,0.5000
1.6200,69.5700,52.8100,-1.5000,0.5000
1.6400,69.5400,52.8200,-1.5000,0.5000
1.6600,69.5100,52.8300,-1.5000,0.5000
1.6800,69.4800,52.8400,-1.5000,0.5000
1.7000,69.4500,52.8500,-1.5000,0.5000
1.7200,69.4200,52.8600,-1.5000,0.5000
1.7400,69.3900,52.8700,-1.5000,0.5000
1.7600,69.3600,52.8800,-1.5000,0.5000
1.7800,69.3300,52.8900,-1.5000,0.5000
1.8000,69.3000,52.9000,-1.5000,0.5000
1.8200,69.2700,52.9100,-1.5000,0.5000
1.8400,69.2400,52.9200,-1.5000,0.5000
1.8600,69.2100,52.9300,-1.5000,0.5000
1.8800,69.1800,52.9400,-1.5000,0.5000
1.9000,69.1500,52.9500,-1.5000,0.5000
1.9200,69.1200,52.9600,-1.5000,0.5000
1.9400,69.0900,52.9700,-1.5000,0.5000
1.9600,69.0600,52.9800,-1.5000,0.5000
1.9800,69.0300,52.9900,-1.5000,0.5000
2.0000,69.0000,53.0000,-1.5000,0.5000
2.0200,68.9700,53.0100,-1.5000,0.5000
2.0400,68.9400,53.0200,-1.5000,0.5000
2.0600,68.9100,53.0300,-1.5000,0.5000
2.0800,68.8800,53.0400,-1.5000,0.5000
2.1000,68.8500,53.0500,-1.5000,0.5000
2.1200,68.8200,53.0600,-1.5000,0.5000
2.1400,68.7900,53.0700,-1.5000,0.5000
2.1600,68.7600,53.0800,-1.5000,0.5000
2.1800,68.7300,53.0900,-1.5000,0.5000
2.2000,68.7000,53.1000,-1.5000,0.5000
2.2200,68.6700,53.1100,-1.5000,0.5000
2.2400,68.6400,53.1200,-1.5000,0.5000
2.2600,68.6100,53.1300,-1.5000,0.5000
2.2800,68.5800,53.1400,-1.5000,0.5000
2.3000,68.5500,53.1500,-1.5000,0.5000
2.3200,68.5200,53.1600,-1.5000,0.5000
2.3400,68.4900,53.1700,-1.5000,0.5000
2.3600,68.4600,53.1800,-1.5000,0.5000
2.3800,68.4300,53.1900,-1.5000,0.5000
2.4000,68.4000,53.2000,-1.5000,0.5000
2.4200,68.3700,53.2100,-1.5000,0.5000
2.4400,68.3400,53.2200,-1.5000,0.5000
2.4600,68.3100,53.2300,-1.5000,0.5000
2.4800,68.2800,53.2400,-1.5000,0.5000
2.5000,68.2500,53.2500,-1.5000,0.5000
2.5200,68.2200,53.2600,-1.5000,0.5000
2.5400,68.1900,53.2700,-1.5000,0.5000
2.5600,68.1600,53.2800,-1.5000,0.5000
2.5800,68.1300,53.2900,-1.5000,0.5000
2.6000,68.1000,53.3000,-1.5000,0.5000
2.6200,68.0700,53.3100,-1.5000,0.5000
2.6400,68.0400,53.3200,-1.5000,0.5000
2.6600,68.0100,53.3300,-1.5000,0.5000
2.6800,67.9800,53.3400,-1.5000,0.5000
2.7000,67.9500,53.3500,-1.5000,0.5000
2.7200,67.9200,53.3600,-1.5000,0.5000
2.7400,67.8900,53.3700,-1.5000,0.5000
2.7600,67.8600,53.3800,-1.5000,0.5000
2.7800,67.8300,53.3900,-1.5000,0.5000
2.8000,67.8000,53.4000,-1.5000,0.5000
2.8200,67.7700,53.4100,-1.5000,0.5000
2.8400,67.7400,53.4200,-1.5000,0.5000
2.8600,67.7100,53.4300,-1.5000,0.5000
2.8800,67.6800,53.4400,-1.5000,0.5000
2.9000,67.6500,53.4500,-1.5000,0.5000
2.9200,67.6200,53.4600,-1.5000,0.5000
2.9400,67.5900,53.4700,-1.5000,0.5000
2.9600,67.5600,53.4800,-1.5000,0.5000
2.9800,67.5300,53.4900,-1.5000,0.5000
3.0000,67.5000,53.5000,-1.5000,0.5000
3.0200,67.4700,53.5100,-1.5000,0.5000
3.0400,67.4400,53.5200,-1.5000,0.5000
3.0600,67.4100,53.5300,-1.5000,0.5000
3.0800,67.3800,53.5400,-1.5000,0.5000
3.1000,67.3500,53.5500,-1.5000,0.5000
3.1200,67.3200,53.5600,-1.5000,0.5000
3.1400,67.2900,53.5700,-1.5000,0.5000
3.1600,67.2600,53.5800,-1.5000,0.5000
3.1800,67.2300,53.5900,-1.5000,0.5000
3.2000,67.2000,53.6000,-1.5000,0.5000
3.2200,67.1700,53.6100,-1.5000,0.5000
3.2400,67.1400,53.6200,-1.5000,0.5000
3.2600,67.1100,53.6300,-1.5000,0.5000
3.2800,67.0800,53.6400,-1.5000,0.5000
3.3000,67.0500,53.6500,-1.5000,0.5000
3.3200,67.0200,53.6600,-1.5000,0.5000
3.3400,66.9900,53.6700,-1.5000,0.5000
3.3600,66.9600,53.6800,-1.5000,0.5000
3.3800,66.9300,53.6900,-1.5000,0.5000
3.4000,66.9000,53.7000,-1.5000,0.5000
3.4200,66.8700,53.7100,-1.5000,0.5000
3.4400,66.8400,53.7200,-1.5000,0.5000
3.4600,66.8100,53.7300,-1.5000,0.5000
3.4800,66.7800,53.7400,-1.5000,0.5000
3.5000,66.7500,53.7500,-1.5000,0.5000
3.5200,66.7200,53.7600,-1.5000,0.5000
3.5400,66.6900,53.7700,-1.5000,0.5000
3.5600,66.6600,53.7800,-1.5000,0.5000
3.5800,66.6300,53.7900,-1.5000,0.5000
3.6000,66.6000,53.8000,-1.5000,0.5000
3.6200,66.5700,53.8100,-1.5000,0.5000
3.6400,66.5400,53.8200,-1.5000,0.5000
3.6600,66.5100,53.8300,-1.5000,0.5000
3.6800,66.4800,53.8400,-1.5000,0.5000
3.7000,66.4500,53.8500,-1.5000,0.5000
3.7200,66.4200,53.8600,-1.5000,0.5000
3.7400,66.3900,53.8700,-1.5000,0.5000
3.7600,66.3600,53.8800,-1.5000,0.5000
3.7800,66.3300,53.8900,-1.5000,0.5000
3.8000,66.3000,53.9000,-1.5000,0.5000
3.8200,66.2700,53.9100,-1.5000,0.5000
3.8400,66.2400,53.9200,-1.5000,0.5000
3.8600,66.2100,53.9300,-1.5000,0.5000
3.8800,66.1800,53.9400,-1.5000,0.5000
3.9000,66.1500,53.9500,-1.5000,0.5000
3.9200,66.1200,53.9600,-1.5000,0.5000
3.9400,66.0900,53.9700,-1.5000,0.5000
3.9600,66.0600,53.9800,-1.5000,0.5000
3.9800,66.0300,53.9900,-1.5000,0.5000
4.0000,66.0000,54.0000,-1.5000,0.5000
4.0200,65.9700,54.0100,-1.5000,0.5000
4.0400,65.9400,54.0200,-1.5000,0.5000
4.0600,65.9100,54.0300,-1.5000,0.5000
4.0800,65.8800,54.0400,-1.5000,0.5000
4.1000,65.8500,54.0500,-1.5000,0.5000
4.1200,65.8200,54.0600,-1.5000,0.5000
4.1400,65.7900,54.0700,-1.5000,0.5000
4.1600,65.7600,54.0800,-1.5000,0.5000
4.1800,65.7300,54.0900,-1.5000,0.5000
4.2000,65.7000,54.1000,-1.5000,0.5000
4.2200,65.6700,54.1100,-1.5000,0.5000
4.2400,65.6400,54.1200,-1.5000,0.5000
4.2600,65.6100,54.1300,-1.5000,0.5000
4.2800,65.5800,54.1400,-1.5000,0.5000
4.3000,65.5500,54.1500,-1.5000,0.5000
4.3200,65.5200,54.1600,-1.5000,0.5000
4.3400,65.4900,54.1700,-1.5000,0.5000
4.3600,65.4600,54.1800,-1.5000,0.5000
4.3800,65.4300,54.1900,-1.5000,0.5000
4.4000,65.4000,54.2000,-1.5000,0.5000
4.4200,65.3700,54.2100,-1.5000,0.5000
4.4400,65.3400,54.2200,-1.5000,0.5000
4.4600,65.3100,54.2300,-1.5000,0.5000
4.4800,65.2800,54.2400,-1.5000,0.5000
4.5000,65.2500,54.2500,-1.5000,0.5000
4.5200,65.2200,54.2600,-1.5000,0.5000
4.5400,65.1900,54.2700,-1.5000,0.5000
4.5600,65.1600,54.2800,-1.5000,0.5000
4.5800,65.1300,54.2900,-1.5000,0.5000
4.6000,65.1000,54.3000,-1.5000,0.5000
4.6200,65.0700,54.3100,-1.5000,0.5000
4.6400,65.0400,54.3200,-1.5000,0.5000
4.6600,65.0100,54.3300,-1.5000,0.5000
4.6800,64.9800,54.3400,-1.5000,0.5000
4.7000,64.9500,54.3500,-1.5000,0.5000
4.7200,64.9200,54.3600,-1.5000,0.5000
4.7400,64.8900,54.3700,-1.5000,0.5000
4.7600,64.8600,54.3800,-1.5000,0.5000
4.7800,64.8300,54.3900,-1.5000,0.5000
4.8000,64.8000,54.4000,-1.5000,0.5000
