t,steer_rad,accel,v_ref,cte
0.0000,0.558505,3.500000,8.0000,0.7071
0.0200,0.558505,3.500000,8.0000,0.7061
0.0400,0.558505,3.500000,8.0000,0.7041
0.0600,0.558505,3.500000,8.0000,0.7012
0.0800,0.558505,3.500000,8.0000,0.6973
0.1000,0.558505,3.500000,8.0000,0.6924
0.1200,0.558505,3.500000,8.0000,0.6865
0.1400,0.558505,3.500000,8.0000,0.6798
0.1600,0.558505,3.500000,8.0000,0.6722
0.1800,0.558505,3.500000,8.0000,0.6636
0.2000,0.558505,3.500000,8.0000,0.6543
0.2200,0.558505,3.500000,8.0000,0.6442
0.2400,0.558505,3.500000,8.0000,0.6334
0.2600,0.558505,3.500000,8.0000,0.6219
0.2800,0.558505,3.500000,8.0000,0.6098
0.3000,0.558505,3.500000,8.0000,0.5972
0.3200,0.558505,3.500000,8.0000,0.5841
0.3400,0.558505,3.500000,8.0000,0.5708
0.3600,0.558505,3.500000,8.0000,0.5574
0.3800,0.558505,3.500000,8.0000,0.5439
0.4000,0.558505,3.500000,8.0000,0.5307
0.4200,0.558505,3.500000,8.0000,0.5178
0.4400,0.558505,3.500000,8.0000,0.5057
0.4600,0.558505,3.500000,8.0000,0.4944
0.4800,0.558505,3.500000,8.0000,0.4845
0.5000,0.558505,3.500000,8.0000,0.4761
0.5200,0.558505,3.500000,8.0000,0.4697
0.5400,0.558505,3.500000,8.0000,0.4656
0.5600,0.558505,3.500000,8.0000,0.4642
0.5800,0.558505,3.500000,8.0000,0.4659
0.6000,0.558505,3.500000,8.0000,0.4709
0.6200,0.558505,3.500000,8.0000,0.4794
0.6400,0.558505,3.500000,8.0000,0.4917
0.6600,0.558505,3.500000,8.0000,0.5076
0.6800,0.558505,3.500000,8.0000,0.5274
0.7000,0.558505,3.500000,8.0000,0.5507
0.7200,0.558505,3.500000,8.0000,0.5776
0.7400,0.492192,3.500000,8.0000,0.6079
0.7600,0.492167,3.500000,8.0000,0.6414
0.7800,0.492139,3.500000,8.0000,0.6780
0.8000,0.492109,3.500000,8.0000,0.7174
0.8200,0.492076,3.500000,8.0000,0.7596
0.8400,0.492040,3.500000,8.0000,0.8043
0.8600,0.492001,3.500000,8.0000,0.8514
0.8800,0.491958,3.500000,8.0000,0.9007
0.9000,0.491911,3.500000,8.0000,0.9522
0.9200,0.491859,3.500000,8.0000,1.0057
0.9400,0.491803,3.500000,8.0000,1.0612
0.9600,0.491742,3.500000,8.0000,1.1186
0.9800,0.491674,3.500000,8.0000,1.1638
1.0000,0.491601,3.500000,8.0000,1.1480
1.0200,0.491521,3.500000,8.0000,1.1351
1.0400,0.491433,3.500000,8.0000,1.1254
1.0600,0.491337,3.500000,8.0000,1.1191
1.0800,0.491232,3.500000,8.0000,1.1166
1.1000,0.491118,3.500000,8.0000,1.0567
1.1200,0.490992,3.500000,8.0000,0.9956
1.1400,0.490854,3.500000,8.0000,0.9352
1.1600,0.490702,3.500000,8.0000,0.8760
1.1800,0.490536,3.500000,8.0000,0.8186
1.2000,0.326883,3.500000,8.0000,0.7638
1.2200,0.326805,3.500000,8.0000,0.7131
1.2400,0.326721,3.500000,8.0000,0.6680
1.2600,0.326630,3.500000,8.0000,0.6302
1.2800,0.326532,3.500000,8.0000,0.6017
1.3000,0.326426,3.500000,8.0000,0.5845
1.3200,0.326312,3.500000,8.0000,0.5801
1.3400,0.326187,3.500000,8.0000,0.5894
1.3600,0.326053,3.500000,8.0000,0.6125
1.3800,0.325907,3.500000,8.0000,0.6484
1.4000,0.325748,3.500000,8.0000,0.6956
1.4200,0.325575,3.500000,8.0000,0.7526
1.4400,0.325387,3.500000,8.0000,0.8177
1.4600,0.325182,3.500000,8.0000,0.8897
1.4800,0.324957,3.500000,8.0000,0.9563
1.5000,0.032566,3.500000,8.0000,0.8854
1.5200,0.032544,3.500000,8.0000,0.8210
1.5400,0.032519,3.500000,8.0000,0.7651
1.5600,0.000000,3.500000,8.0000,3.5416
1.5800,0.000000,3.500000,8.0000,3.6452
1.6000,0.000000,3.500000,8.0000,3.7504
1.6200,0.000000,3.500000,8.0000,3.8574
1.6400,0.000000,3.500000,8.0000,3.9661
1.6600,0.000000,3.500000,8.0000,4.0764
1.6800,0.000000,3.500000,8.0000,4.1884
1.7000,0.000000,3.500000,8.0000,4.3020
1.7200,0.000000,3.500000,8.0000,4.4172
1.7400,0.000000,3.425120,8.0000,4.5341
1.7600,0.000000,3.352186,8.0000,4.6525
1.7800,0.000000,3.280703,8.0000,4.7725
1.8000,0.000000,3.210667,8.0000,4.8940
1.8200,0.000000,3.142047,8.0000,5.0169
1.8400,0.000000,3.074814,8.0000,5.1412
1.8600,0.000000,3.008941,8.0000,5.2669
1.8800,0.000000,2.944400,8.0000,5.3940
1.9000,0.000000,2.881165,8.0000,5.5224
1.9200,0.000000,2.819210,8.0000,5.6521
1.9400,0.000000,2.758508,8.0000,5.7830
1.9600,0.000000,2.699035,8.0000,5.9152
1.9800,0.000000,2.640766,8.0000,6.0486
2.0000,0.000000,2.583677,8.0000,6.1831
2.0200,0.000000,2.527744,8.0000,6.3188
2.0400,0.000000,2.472944,8.0000,6.4556
2.0600,0.000000,2.419254,8.0000,6.5934
2.0800,0.000000,2.366652,8.0000,6.7324
2.1000,0.000000,2.315116,8.0000,6.8724
2.1200,0.000000,2.264625,8.0000,7.0133
2.1400,0.000000,2.215157,8.0000,7.1553
2.1600,0.000000,2.166692,8.0000,7.2982
2.1800,0.000000,2.119211,8.0000,7.4421
2.2000,0.000000,2.072692,8.0000,7.5869
2.2200,0.000000,2.027118,8.0000,7.7326
2.2400,0.000000,1.982469,8.0000,7.8791
2.2600,0.000000,1.938726,8.0000,8.0265
2.2800,0.000000,3.500000,8.0000,8.1748
2.3000,0.000000,3.500000,8.0000,8.1762
2.3200,0.000000,3.500000,8.0000,8.1776
2.3400,0.000000,3.500000,8.0000,8.1790
2.3600,0.000000,3.500000,8.0000,8.1803
2.3800,0.000000,3.500000,8.0000,8.1817
