t,steer_rad,accel,v_ref,cte,wp_idx
0.0000,0.558505,3.500000,8.0000,2.1213,1
0.0200,0.558505,3.500000,8.0000,2.1203,1
0.0400,0.558505,3.500000,8.0000,2.1184,1
0.0600,0.558505,3.500000,8.0000,2.1154,1
0.0800,0.558505,3.500000,8.0000,2.1114,1
0.1000,0.558505,3.500000,8.0000,2.1065,1
0.1200,0.558505,3.500000,8.0000,2.1005,1
0.1400,0.558505,3.500000,8.0000,2.0936,1
0.1600,0.558505,3.500000,8.0000,2.0857,1
0.1800,0.558505,3.500000,8.0000,2.0769,1
0.2000,0.558505,3.500000,8.0000,2.0670,1
0.2200,0.558505,3.500000,8.0000,2.0562,1
0.2400,0.558505,3.500000,8.0000,2.0444,1
0.2600,0.558505,3.500000,8.0000,2.0317,1
0.2800,0.558505,3.500000,8.0000,2.0180,1
0.3000,0.558505,3.500000,8.0000,2.0033,1
0.3200,0.558505,3.500000,8.0000,1.9878,1
0.3400,0.558505,3.500000,8.0000,1.9712,1
0.3600,0.558505,3.500000,8.0000,1.9538,1
0.3800,0.558505,3.500000,8.0000,1.9355,1
0.4000,0.558505,3.500000,8.0000,1.9163,1
0.4200,0.558505,3.500000,8.0000,1.8962,1
0.4400,0.558505,3.500000,8.0000,1.8752,1
0.4600,0.558505,3.500000,8.0000,1.8534,1
0.4800,0.558505,3.500000,8.0000,1.8307,1
0.5000,0.558505,3.500000,8.0000,1.8073,1
0.5200,0.558505,3.500000,8.0000,1.7831,1
0.5400,0.558505,3.500000,8.0000,1.7581,1
0.5600,0.558505,3.500000,8.0000,1.7324,1
0.5800,0.558505,3.500000,8.0000,1.7061,1
0.6000,0.558505,3.500000,8.0000,1.6791,1
0.6200,0.558505,3.500000,8.0000,1.6515,1
0.6400,0.558505,3.500000,8.0000,1.6234,1
0.6600,0.558505,3.500000,8.0000,1.5947,1
0.6800,0.558505,3.500000,8.0000,1.5657,1
0.7000,0.558505,3.500000,8.0000,1.5363,1
0.7200,0.558505,3.500000,8.0000,1.5066,1
0.7400,0.492192,3.500000,8.0000,1.4767,1
0.7600,0.492167,3.500000,8.0000,1.4469,1
0.7800,0.492139,3.500000,8.0000,1.4171,1
0.8000,0.492109,3.500000,8.0000,1.3876,1
0.8200,0.492076,3.500000,8.0000,1.3584,1
0.8400,0.492040,3.500000,8.0000,1.3299,1
0.8600,0.492001,3.500000,8.0000,1.3021,1
0.8800,0.491958,3.500000,8.0000,1.2752,1
0.9000,0.491911,3.500000,8.0000,1.2496,1
0.9200,0.491859,3.500000,8.0000,1.2253,1
0.9400,0.491803,3.500000,8.0000,1.2028,1
0.9600,0.491742,3.500000,8.0000,1.1822,1
0.9800,0.491674,3.500000,8.0000,1.1638,1
1.0000,0.491601,3.500000,8.0000,1.1480,1
1.0200,0.491521,3.500000,8.0000,1.1351,1
1.0400,0.491433,3.500000,8.0000,1.1254,1
1.0600,0.491337,3.500000,8.0000,1.1191,1
1.0800,0.491232,3.500000,8.0000,1.1166,1
1.1000,0.491118,3.500000,8.0000,1.0567,1
1.1200,0.490992,3.500000,8.0000,0.9956,1
1.1400,0.490854,3.500000,8.0000,0.9352,1
1.1600,0.490702,3.500000,8.0000,0.8760,1
1.1800,0.490536,3.500000,8.0000,0.8186,1
1.2000,0.207951,3.500000,8.0000,0.7638,1
1.2200,0.207866,3.500000,8.0000,0.7134,1
1.2400,0.207775,3.500000,8.0000,0.6690,1
1.2600,0.207676,3.500000,8.0000,0.6323,1
1.2800,0.207569,3.500000,8.0000,0.6054,1
1.3000,0.207452,3.500000,8.0000,0.5902,1
1.3200,0.207326,3.500000,8.0000,0.5882,1
1.3400,0.207189,3.500000,8.0000,0.6002,1
1.3600,-0.031660,3.500000,8.0000,0.6260,1
1.3800,-0.031643,3.500000,8.0000,0.6653,1
1.4000,-0.031624,3.500000,8.0000,0.7165,1
1.4200,-0.031603,3.500000,8.0000,0.7777,1
1.4400,-0.031581,3.500000,8.0000,0.8473,1
1.4600,-0.031557,3.500000,8.0000,0.9238,1
1.4800,-0.031531,3.500000,8.0000,1.0061,1
1.5000,-0.174991,3.500000,8.0000,0.9522,1
1.5200,-0.174889,3.500000,8.0000,0.9053,1
1.5400,-0.174778,3.500000,8.0000,0.8693,1
1.5600,-0.174658,3.500000,8.0000,0.8462,1
1.5800,-0.174528,3.500000,8.0000,0.8376,1
1.6000,-0.174386,3.500000,8.0000,0.8446,1
1.6200,-0.174232,3.500000,8.0000,0.8673,1
1.6400,-0.174064,3.500000,8.0000,0.9051,1
1.6600,-0.244452,3.500000,8.0000,0.9568,1
1.6800,-0.244291,3.500000,8.0000,1.0211,1
1.7000,-0.244116,3.500000,8.0000,1.0962,1
1.7200,-0.243926,3.500000,8.0000,1.1805,1
1.7400,-0.243719,3.425120,8.0000,1.2488,1
1.7600,-0.243492,3.352186,8.0000,1.2194,1
1.7800,0.000000,3.280703,8.0000,3.5848,1
1.8000,0.000000,3.210667,8.0000,3.7074,1
1.8200,0.000000,3.142047,8.0000,3.8315,1
1.8400,0.000000,3.074814,8.0000,3.9570,1
1.8600,0.000000,3.008941,8.0000,4.0839,1
1.8800,0.000000,2.944400,8.0000,4.2122,1
1.9000,0.000000,2.881165,8.0000,4.3417,1
1.9200,0.000000,2.819210,8.0000,4.4726,1
1.9400,0.000000,2.758508,8.0000,4.6046,1
1.9600,0.000000,2.699035,8.0000,4.7379,1
1.9800,0.000000,2.640766,8.0000,4.8724,1
2.0000,0.000000,2.583677,8.0000,5.0080,1
2.0200,0.000000,2.527744,8.0000,5.1447,1
2.0400,0.000000,2.472944,8.0000,5.2825,1
2.0600,0.000000,2.419254,8.0000,5.4214,1
2.0800,0.000000,2.366652,8.0000,5.5613,1
2.1000,0.000000,2.315116,8.0000,5.7023,1
2.1200,0.000000,2.264625,8.0000,5.8442,1
2.1400,0.000000,2.215157,8.0000,5.9871,1
2.1600,0.000000,2.166692,8.0000,6.1309,1
2.1800,0.000000,2.119211,8.0000,6.2757,1
2.2000,0.000000,2.072692,8.0000,6.4213,1
2.2200,0.000000,2.027118,8.0000,6.5679,1
2.2400,0.000000,1.982469,8.0000,6.7153,1
2.2600,0.000000,1.938726,8.0000,6.8635,1
2.2800,0.000000,1.895871,8.0000,7.0125,1
2.3000,0.000000,1.853886,8.0000,7.1624,1
2.3200,0.000000,1.812755,8.0000,7.3130,1
2.3400,0.000000,1.772459,8.0000,7.4644,1
2.3600,0.000000,1.732982,8.0000,7.6165,1
2.3800,0.000000,1.694308,8.0000,7.7693,1
2.4000,0.000000,1.656420,8.0000,7.9229,1
2.4200,0.000000,1.619302,8.0000,8.0771,1
2.4400,0.000000,1.582940,8.0000,8.2320,1
2.4600,0.000000,1.547318,8.0000,8.3876,1
2.4800,0.000000,1.512421,8.0000,8.5438,1
2.5000,0.000000,1.478234,8.0000,8.7007,1
2.5200,0.000000,1.444743,8.0000,8.8581,1
2.5400,0.000000,1.411935,8.0000,9.0162,1
2.5600,0.000000,1.248355,0.0000,8.2291,1
2.5800,0.000000,1.315238,0.0000,8.2295,1
2.6000,0.000000,1.280174,0.0000,8.2303,1
2.6200,0.000000,1.250973,0.0000,8.2316,1
2.6400,0.000000,1.222104,0.0000,8.2333,1
2.6600,0.000000,1.193838,0.0000,8.2354,1
2.6800,0.000000,1.166148,0.0000,8.2379,1
2.7000,0.000000,1.139025,0.0000,8.2408,1
2.7200,0.000000,1.112455,0.0000,8.2441,1
2.7400,0.000000,1.086429,0.0000,8.2477,1
2.7600,0.000000,1.060935,0.0000,8.2517,1
2.7800,0.000000,1.035963,0.0000,8.2561,1
2.8000,0.000000,1.011502,0.0000,8.2608,1
2.8200,0.000000,0.987541,0.0000,8.2658,1
2.8400,0.000000,0.964072,0.0000,8.2712,1
2.8600,0.000000,0.941083,0.0000,8.2769,1
