t,x,y,yaw,v
0.0000,5.0014,5.0000,0.000336,0.0700
0.0200,5.0042,5.0000,0.001009,0.1400
0.0400,5.0084,5.0000,0.002019,0.2100
0.0600,5.0140,5.0000,0.003365,0.2800
0.0800,5.0210,5.0001,0.005047,0.3500
0.1000,5.0294,5.0001,0.007066,0.4200
0.1200,5.0392,5.0002,0.009421,0.4900
0.1400,5.0504,5.0004,0.012113,0.5600
0.1600,5.0630,5.0005,0.015141,0.6300
0.1800,5.0770,5.0008,0.018506,0.7000
0.2000,5.0924,5.0011,0.022207,0.7700
0.2200,5.1092,5.0016,0.026245,0.8400
0.2400,5.1274,5.0021,0.030619,0.9100
0.2600,5.1470,5.0028,0.035329,0.9800
0.2800,5.1679,5.0037,0.040376,1.0500
0.3000,5.1903,5.0047,0.045760,1.1200
0.3200,5.2141,5.0059,0.051480,1.1900
0.3400,5.2393,5.0074,0.057536,1.2600
0.3600,5.2658,5.0091,0.063929,1.3300
0.3800,5.2937,5.0111,0.070658,1.4000
0.4000,5.3230,5.0133,0.077724,1.4700
0.4200,5.3537,5.0160,0.085126,1.5400
0.4400,5.3858,5.0189,0.092865,1.6100
0.4600,5.4192,5.0223,0.100940,1.6800
0.4800,5.4540,5.0262,0.109352,1.7500
0.5000,5.4902,5.0304,0.118100,1.8200
0.5200,5.5276,5.0352,0.127185,1.8900
0.5400,5.5665,5.0406,0.136606,1.9600
0.5600,5.6066,5.0465,0.146364,2.0300
0.5800,5.6481,5.0530,0.156458,2.1000
0.6000,5.6909,5.0602,0.166888,2.1700
0.6200,5.7350,5.0682,0.177655,2.2400
0.6400,5.7804,5.0768,0.188759,2.3100
0.6600,5.8271,5.0863,0.200199,2.3800
0.6800,5.8750,5.0966,0.211975,2.4500
0.7000,5.9241,5.1078,0.224088,2.5200
0.7200,5.9745,5.1199,0.236537,2.5900
0.7400,6.0260,5.1330,0.247509,2.6600
0.7600,6.0788,5.1470,0.258768,2.7300
0.7800,6.1328,5.1619,0.270316,2.8000
0.8000,6.1879,5.1779,0.282151,2.8700
0.8200,6.2442,5.1949,0.294275,2.9400
0.8400,6.3016,5.2131,0.306685,3.0100
0.8600,6.3601,5.2325,0.319384,3.0800
0.8800,6.4196,5.2530,0.332369,3.1500
0.9000,6.4802,5.2748,0.345641,3.2200
0.9200,6.5418,5.2980,0.359201,3.2900
0.9400,6.6044,5.3225,0.373047,3.3600
0.9600,6.6679,5.3484,0.387179,3.4300
0.9800,6.7323,5.3757,0.401597,3.5000
1.0000,6.7976,5.4046,0.416302,3.5700
1.0200,6.8638,5.4350,0.431291,3.6400
1.0400,6.9307,5.4671,0.446566,3.7100
1.0600,6.9984,5.5008,0.462125,3.7800
1.0800,7.0667,5.5362,0.477969,3.8500
1.1000,7.1358,5.5734,0.494096,3.9200
1.1200,7.2054,5.6124,0.510506,3.9900
1.1400,7.2756,5.6532,0.527198,4.0600
1.1600,7.3462,5.6960,0.544172,4.1300
1.1800,7.4173,5.7407,0.561427,4.2000
1.2000,7.4893,5.7867,0.568357,4.2700
1.2200,7.5621,5.8339,0.575399,4.3400
1.2400,7.6358,5.8824,0.582550,4.4100
1.2600,7.7102,5.9323,0.589812,4.4800
1.2800,7.7855,5.9834,0.597183,4.5500
1.3000,7.8615,6.0360,0.604663,4.6200
1.3200,7.9383,6.0899,0.612252,4.6900
1.3400,8.0158,6.1452,0.619948,4.7600
1.3600,8.0944,6.2012,0.618772,4.8300
1.3800,8.1743,6.2580,0.617579,4.9000
1.4000,8.2555,6.3154,0.616369,4.9700
1.4200,8.3378,6.3736,0.615144,5.0400
1.4400,8.4213,6.4325,0.613902,5.1100
1.4600,8.5061,6.4920,0.612644,5.1800
1.4800,8.5921,6.5523,0.611370,5.2500
1.5000,8.6796,6.6127,0.604135,5.3200
1.5200,8.7688,6.6733,0.596809,5.3900
1.5400,8.8596,6.7340,0.589393,5.4600
1.5600,8.9520,6.7948,0.581886,5.5300
1.5800,9.0460,6.8557,0.574291,5.6000
1.6000,9.1417,6.9165,0.566607,5.6700
1.6200,9.2390,6.9774,0.558835,5.7400
1.6400,9.3380,7.0382,0.550976,5.8100
1.6600,9.4389,7.0987,0.539694,5.8800
1.6800,9.5417,7.1586,0.528285,5.9500
1.7000,9.6464,7.2181,0.516751,6.0200
1.7200,9.7529,7.2771,0.505091,6.0900
1.7400,9.8614,7.3354,0.493312,6.1585
1.7600,9.9718,7.3930,0.481415,6.2255
1.7800,10.0833,7.4513,0.481415,6.2912
1.8000,10.1960,7.5102,0.481415,6.3554
1.8200,10.3097,7.5696,0.481415,6.4182
1.8400,10.4246,7.6296,0.481415,6.4797
1.8600,10.5405,7.6902,0.481415,6.5399
1.8800,10.6575,7.7513,0.481415,6.5988
1.9000,10.7755,7.8129,0.481415,6.6564
1.9200,10.8945,7.8751,0.481415,6.7128
1.9400,11.0145,7.9378,0.481415,6.7680
1.9600,11.1354,8.0009,0.481415,6.8219
1.9800,11.2573,8.0646,0.481415,6.8748
2.0000,11.3801,8.1287,0.481415,6.9264
2.0200,11.5037,8.1934,0.481415,6.9770
2.0400,11.6283,8.2584,0.481415,7.0264
2.0600,11.7537,8.3239,0.481415,7.0748
2.0800,11.8800,8.3899,0.481415,7.1222
2.1000,12.0070,8.4563,0.481415,7.1685
2.1200,12.1349,8.5231,0.481415,7.2138
2.1400,12.2636,8.5903,0.481415,7.2581
2.1600,12.3930,8.6579,0.481415,7.3014
2.1800,12.5232,8.7259,0.481415,7.3438
2.2000,12.6541,8.7943,0.481415,7.3852
2.2200,12.7857,8.8631,0.481415,7.4258
2.2400,12.9181,8.9322,0.481415,7.4654
2.2600,13.0511,9.0017,0.481415,7.5042
2.2800,13.1848,9.0716,0.481415,7.5421
2.3000,13.3192,9.1417,0.481415,7.5792
2.3200,13.4542,9.2123,0.481415,7.6154
2.3400,13.5898,9.2831,0.481415,7.6509
2.3600,13.7260,9.3543,0.481415,7.6856
2.3800,13.8629,9.4258,0.481415,7.7194
2.4000,14.0003,9.4976,0.481415,7.7526
